School,Earnings,Cost,Grad,Debt,City
St.AmbroseC,44800,22920,62,88,1
"AlbionCollege (Albion,MI)",45100,23429,73,92,0
"AlfredUniversity (Alfred,NY)",42300,19567,63,87,0
"AlleghenyCollege (Meadville,PA)",49200,25147,78,92,0
"BeloitCollege (Beloit,WI)",37900,21979,78,93,1
"BentleyUniversity (Waltham,MA)",74900,29886,86,98,1
"BostonUniversity (Boston,MA)",60600,34603,84,95,1
CaliforniaLutheranUniversity (Thousand,52900,28107,65,90,1
"CarrollCollege (Helena,MT)",44000,23583,65,95,0
CatholicUniversityof,54500,34086,68,92,1
"CedarCrestCollege (Allentown,",45200,19156,61,83,1
"ChamplainCollege (Burlington,VT)",40400,31564,62,89,1
"ChapmanUniversity (Orange,CA)",51800,33821,74,87,1
"ClarkUniversity (Worcester,MA)",44100,23415,80,94,1
"Colby–SawyerCollege (NewLondon,",38600,22644,56,88,0
CollegeofMount,51900,19647,54,85,1
CollegeofSt.,47600,23518,81,98,0
Davis&Elkins,35900,16575,43,71,0
"DeSalesUniversity (CenterValley,",48300,27080,69,90,0
"DickinsonCollege (Carlisle,PA)",52100,29678,85,95,1
"DoaneCollege (Crete,NE)",42300,21713,62,90,0
"DominicanUniversity (RiverForest,",44400,13902,65,86,0
"DrewUniversity (Madison,NJ)",50900,27652,69,93,0
"DrexelUniversity (Philadelphia,PA)",61100,33742,67,90,1
"EarlhamCollege (Richmond,IN)",32300,19414,71,96,0
"EckerdCollege (St.Petersburg,",40800,29864,63,81,1
"ElmhurstCollege (Elmhurst,IL)",48100,19466,74,91,0
"ElmiraCollege (Elmira,NY)",43600,22787,60,89,1
"ElonUniversity (Elon,NC)",44500,31898,83,96,0
"EndicottCollege (Beverly,MA)",42800,31810,72,96,0
"FloridaSouthernCollege (Lakeland,",37600,21558,57,82,1
"FortLewisCollege (Durango,",34000,14398,37,77,0
"FranklinPierceUniversity (Rindge,",38000,24266,47,88,0
"FresnoPacificUniversity (Fresno,",39700,15403,57,81,1
"GeorgeFoxUniversity (Newberg,",43300,24402,63,92,0
"GonzagaUniversity (Spokane,WA)",52800,28155,82,95,1
"GoucherCollege (Baltimore,MD)",45500,24246,67,91,1
GustavusAdolphusCollege (St.,50100,23162,83,95,0
"HawaiiPacificUniversity (Honolulu,",43400,20967,40,87,1
"HendrixCollege (Conway,AR)",40500,22231,71,87,1
HobartandWilliam,48600,30720,78,95,0
"HollinsUniversity (Roanoke,VA)",37000,20252,58,80,0
"IthacaCollege (Ithaca,NY)",50400,31958,76,96,0
Johnson&Wales,35100,24423,54,80,1
"JuniataCollege (Huntingdon,PA)",45200,24614,75,96,0
"KalamazooCollege (Kalamazoo,MI)",49400,21531,79,93,1
LakeForestCollege (Lake,48100,23921,67,93,0
"LasellCollege (Newton,MA)",40900,25316,49,88,1
"LesleyUniversity (Cambridge,MA)",36700,32534,46,86,1
LewisandClark,43400,32636,75,96,1
"LinfieldCollege (McMinnville,OR)",51300,24893,68,93,0
LongIslandUniversity,46000,25613,41,74,0
LoyolaUniversityNew,41300,21546,57,83,1
"LycomingCollege (Williamsport,PA)",42800,21127,64,90,1
"LynnUniversity (BocaRaton,",35500,33074,41,76,1
"MariettaCollege (Marietta,OH)",42600,22473,59,89,0
"McDanielCollege (Westminster,MD)",44600,20675,73,95,0
"MenloCollege (Atherton,CA)",50600,25918,38,78,0
"MeredithCollege (Raleigh,NC)",38400,22275,61,87,1
"MillsCollege (Oakland,CA)",39000,25539,62,81,1
"MonmouthCollege (Monmouth,IL)",40700,15685,58,89,0
"MoravianCollege (Bethlehem,PA)",50000,24730,74,91,1
NazarethCollegeof,43900,25936,70,93,0
"NebraskaWesleyanUniversity (Lincoln,",45500,22204,67,93,1
"NewEnglandCollege (Henniker,",35600,28458,41,78,0
"NiagaraUniversity (NiagaraUniversity,",44000,17437,66,87,0
"OglethorpeUniversity (Atlanta,GA)",43900,19721,59,79,0
"OtterbeinUniversity (Westerville,OH)",41200,24850,59,86,0
"PaceUniversity (NewYork,",58400,24961,53,86,1
"PacificLutheranUniversity (Tacoma,",45900,23486,70,93,0
PineManorCollege (Chestnut,34700,13735,32,52,0
"ProvidenceCollege (Providence,RI)",59600,34841,86,96,1
"QuinnipiacUniversity (Hamden,CT)",56400,35159,76,96,0
"RegisUniversity (Denver,CO)",53100,21046,58,85,1
"RhodeIslandCollege (Providence,",39600,9938,43,84,0
"RiderUniversity (Lawrenceville,NJ)",48100,28210,67,89,0
"RiponCollege (Ripon,WI)",42800,19254,73,90,0
"RoanokeCollege (Salem,VA)",42500,26451,65,89,0
"RogerWilliamsUniversity (Bristol,",47200,33838,62,93,0
"RollinsCollege (WinterPark,",42200,29427,69,83,0
"SaintFrancisUniversity (Loretto,",46900,22593,68,90,0
"SeattleUniversity (Seattle,WA)",55200,33557,77,92,1
"SimmonsCollege (Boston,MA)",51400,29085,69,93,1
"SpelmanCollege (Atlanta,GA)",46400,31293,70,67,1
"SpringfieldCollege (Springfield,MA)",45100,27674,67,80,1
"StetsonUniversityIdeland,",42600,21815,64,86,0
"SuffolkUniversity (Boston,MA)",49900,27507,56,84,1
"SusquehannaUniversity (Selinsgrove,PA)",50000,24954,75,95,0
"SyracuseUniversity (Syracuse,NY)",56600,28912,81,93,1
"TempleUniversity (Philadelphia,PA)",46500,20845,66,86,1
TheCollegeof,38900,16681,65,90,0
TheCollegeof,44400,21455,75,91,0
TheGeorgeWashington,64500,30206,80,95,1
TheUniversityof,43200,25702,67,87,1
"TrinityUniversity (SanAntonio,",53200,22389,81,96,1
"UniversityofDenver (Denver,",51400,29362,77,92,1
UniversityofHartford (West,45900,29140,55,86,1
UniversityofMiami (Coral,52400,30394,81,90,0
UniversityofPuget,51500,32115,78,94,1
"UniversityofRedlands (Redlands,",53800,25057,72,91,1
"UniversityofRochester (Rochester,",55500,26608,85,93,1
UniversityofSan,56300,31593,75,92,1
UniversityofSan,61000,31915,68,87,1
"UniversityofTampa (Tampa,",44400,27955,59,87,1
Universityofthe,66400,30318,57,89,1
"WartburgCollege (Waverly,IA)",43200,22124,64,90,0
Washington&Jefferson,49900,26491,76,93,0
"WashingtonCollege (Chestertown,MD)",48300,30255,69,92,0
"WellsCollege (Aurora,NY)",33600,19739,57,86,0
WestVirginiaWesleyan,43100,18292,59,82,0
WesternNewEngland,55100,28517,61,92,1
"WhittierCollege (Whittier,CA)",45100,33181,67,86,0
"WidenerUniversity (Chester,PA)",51700,27387,56,83,0
"WillametteUniversity (Salem,OR)",49200,30312,78,93,1
"WinthropUniversity (RockHill,",36100,15311,54,76,1
"WittenbergUniversity (Springfield,OH)",42700,26616,64,90,1
